ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
Caltex งาว By Tanadon Energy,Caltex (คาลเท็กซ์),18.73186,99.9702,https://maps.google.com/?cid=10071932811469552161&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.07,✅,,,,,
PT Gas Station,PT (พีที),18.60887,100.0381,https://maps.google.com/?cid=13087616396086705822&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,16.6,✅,,,,,
PT Gas Station,PT (พีที),18.41341,100.183,https://maps.google.com/?cid=6179408742453618497&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,28.65,✅,,,,,
PTT petrol station. Song,PTT (ปตท),18.38761,100.1944,https://maps.google.com/?cid=15454639791147742456&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.12,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา แดนชุมพล,Bangchak (บางจาก),18.3776,100.2002,https://maps.google.com/?cid=16548476768609827303&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.04,✅,,,,,
PTT (Sathit Service Registered Ordinary Partnership),PTT (ปตท),18.30886,100.296,https://maps.google.com/?cid=10924233016757929792&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,13.4,✅,,,,,
Bangchak - Thavat Borikan Prae R.O.P.(Rongkwang),Bangchak (บางจาก),18.30181,100.285,https://maps.google.com/?cid=3924245996308955238&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.3,✅,จิง เเก้ระยะทางละ✅,,,,
PT Gas Station,PT (พีที),18.29653,100.2793,https://maps.google.com/?cid=9501755571341384698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.72,✅อันนี้กลับมาเส้นหลักละ  ,,,,,
ปั๊มน้ำมัน PT,PT (พีที),18.2522,100.2292,https://maps.google.com/?cid=14095546130347463626&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.06,✅,,,,,
ปั๊มพีที แพร่2,PT (พีที),18.21455,100.2037,https://maps.google.com/?cid=7699038767631544991&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.08,✅,,,,,
