ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
PTT Lpg+,PTT (ปตท),14.1132,100.5694,https://maps.google.com/?cid=6814902160085576221&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.51,งงเส้นทาง ปั้มมันไกลเกินไปกับเส้นมา,อันนี้งงอะไรนะ,,,,
PT Station Samkhok3,PT (พีที),14.1092,100.5709,https://maps.google.com/?cid=11021122677789253144&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.52,งงเส้นทาง,อันนี้งงอะไรนะ,,,,
Caltex Purethai Chiang Rak Noi,Caltex (คาลเท็กซ์),14.09096,100.5701,https://maps.google.com/?cid=17629158456767872564&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.04,ฝั่งตรงข้าม,/,,,,
PT Gas Station Sam Khok 2,PT (พีที),14.08972,100.5701,https://maps.google.com/?cid=9888439910697156623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,ฝั่งตรงข้าม,/,,,,
"ปั๊มน้ำมันพีที บางพูน (กาแฟพันธุ์ไทย, Max Mart)",PT (พีที),13.99931,100.5724,https://maps.google.com/?cid=4518146631778373176&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,9.6,ระยะทาง+งงเส้นทาง,,,,,
Shell,Shell (เชลล์),13.99746,100.5746,https://maps.google.com/?cid=50539138578917299&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.2,✅,,,,,
Bangchak,Bangchak (บางจาก),13.97509,100.5767,https://maps.google.com/?cid=2740651700552310946&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.2,✅,,,,,
PTT Station Rangsit-Tiwanon,PTT (ปตท),13.97207,100.5642,https://maps.google.com/?cid=1704937418813507018&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.3,✅,,,,,
PTT station - Active Park,PTT (ปตท),13.91144,100.5424,https://maps.google.com/?cid=2078481159503357207&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8,✅ อ้อมทางไกลจากปั้มบน,,,,,
ปั๊มน้ำมันบางจาก - เมืองทองธานี,Bangchak (บางจาก),13.90955,100.5384,,0.4,✅,,,,,
ปั๊มน้ำมันบางจาก แจ้งวัฒนะ 38 (บจ. เอเวอร์กรีน แจ้งวัฒนะ)​,Bangchak (บางจาก),13.89719,100.5476,https://maps.google.com/?cid=8772783389217961853&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.1,✅,,,,,
PT Gas Station,PT (พีที),13.90157,100.5358,https://maps.google.com/?cid=7700502700767239970&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.9,✅,,,,,
Shell,Shell (เชลล์),13.88188,100.5337,https://maps.google.com/?cid=2675794831682556135&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.4,อ้อมทางไกลจากปั้มบน ✅,,,,,
Bangchak,Bangchak (บางจาก),13.85859,100.5283,https://maps.google.com/?cid=4015570328810372217&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4,,,,,,
Bangchak,Bangchak (บางจาก),13.8585,100.5301,https://maps.google.com/?cid=17287940954567811156&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.2,✅,,,,,
PTT Station,PTT (ปตท),13.85476,100.5298,https://maps.google.com/?cid=13476458598644290213&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.1,✅,,,,,
PTT Rest Area,PTT (ปตท),13.84075,100.534,https://maps.google.com/?cid=14357607030643969018&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.8,✅,,,,,
PTT (Pimon Rungruang (1991) Company Limited),PTT (ปตท),13.83517,100.54,https://maps.google.com/?cid=12705991043800136068&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.8,✅,,,,,
Caltex C.Trac Energy,Caltex (คาลเท็กซ์),13.83041,100.5436,https://maps.google.com/?cid=10118381257796323888&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.7,✅ ยังก่อน,,,,,
ปั๊มน้ำมันบางจาก - บจก. กำแพงเพชร ปิโตรเลียม,Bangchak (บางจาก),13.8261,100.5503,https://maps.google.com/?cid=452197677016901186&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.3,✅,,,,,
PTT,PTT (ปตท),13.80882,100.5483,https://maps.google.com/?cid=17745672241374093962&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.3,✅,,,,,
Bangchak,Bangchak (บางจาก),13.78853,100.5363,https://maps.google.com/?cid=12382957879791008004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.1,✅,,,,,
Bangchak,Bangchak (บางจาก),13.80075,100.5381,https://maps.google.com/?cid=6820678596568239919&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.1,✅,,,,,
Bangchak,Bangchak (บางจาก),13.77771,100.532,https://maps.google.com/?cid=2219009462404570631&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2,✅  งงค่อยกลับมาทำ,,,,,
Bangchak petrol station - Public Relations Department,Bangchak (บางจาก),13.78341,100.5394,https://maps.google.com/?cid=12910315339757474604&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.3,✅,,,,,
Caltex Siambest Service,Caltex (คาลเท็กซ์),13.75551,100.5249,https://maps.google.com/?cid=13096133585624719900&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.2,✅,,,,,
Shell,Shell (เชลล์),13.75129,100.5256,https://maps.google.com/?cid=15811480290994164795&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.4,✅,,,,,
PT,PT (พีที),13.75666,100.5105,https://maps.google.com/?cid=11565290655856667173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.5,✅,,,,,
Sinopec Susco Lan Luang,Susco (ซัสโก้),13.75617,100.5078,https://maps.google.com/?cid=6627175782244586082&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.3,✅,,,,,
Shell,Shell (เชลล์),13.75057,100.5044,https://maps.google.com/?cid=16126814166967113390&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.8,✅,,,,,
Shell,Shell (เชลล์),13.75001,100.5001,https://maps.google.com/?cid=4804146395239139473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.7,✅,,,,,
